table,itemtype,http_status,total
glpi_agents,Agent,403,-
glpi_agenttypes,Agenttype,400,-
glpi_alerts,Alert,403,-
glpi_apiclients,Apiclient,206,6
glpi_applianceenvironments,Applianceenvironment,400,-
glpi_appliances,Appliance,200,-
glpi_appliances_items,AppliancesItem,400,-
glpi_appliances_items_relations,AppliancesItemsRelation,400,-
glpi_appliancetypes,Appliancetype,400,-
glpi_authldapreplicates,Authldapreplicate,400,-
glpi_authldaps,Authldap,200,1
glpi_authmails,Authmail,400,-
glpi_autoupdatesystems,Autoupdatesystem,400,-
glpi_blacklistedmailcontents,Blacklistedmailcontent,400,-
glpi_blacklists,Blacklist,206,71
glpi_budgets,Budget,200,-
glpi_budgettypes,Budgettype,400,-
glpi_businesscriticities,Businesscriticity,400,-
glpi_cables,Cable,200,-
glpi_cablestrands,Cablestrand,400,-
glpi_cabletypes,Cabletype,400,-
glpi_calendars,Calendar,200,1
glpi_calendars_holidays,CalendarsHoliday,400,-
glpi_calendarsegments,Calendarsegment,400,-
glpi_cartridgeitems,Cartridgeitem,403,-
glpi_cartridgeitems_printermodels,CartridgeitemsPrintermodel,400,-
glpi_cartridgeitemtypes,Cartridgeitemtype,400,-
glpi_cartridges,Cartridge,403,-
glpi_certificates,Certificate,200,-
glpi_certificates_items,CertificatesItem,400,-
glpi_certificatetypes,Certificatetype,400,-
glpi_changecosts,Changecost,400,-
glpi_changes,Change,200,-
glpi_changes_groups,ChangesGroup,400,-
glpi_changes_items,ChangesItem,400,-
glpi_changes_problems,ChangesProblem,400,-
glpi_changes_suppliers,ChangesSupplier,400,-
glpi_changes_tickets,ChangesTicket,400,-
glpi_changes_users,ChangesUser,400,-
glpi_changetasks,Changetask,400,-
glpi_changetemplatehiddenfields,Changetemplatehiddenfield,400,-
glpi_changetemplatemandatoryfields,Changetemplatemandatoryfield,400,-
glpi_changetemplatepredefinedfields,Changetemplatepredefinedfield,400,-
glpi_changetemplates,Changetemplate,400,-
glpi_changevalidations,Changevalidation,400,-
glpi_clusters,Cluster,200,-
glpi_clustertypes,Clustertype,400,-
glpi_computerantiviruses,Computerantivirus,400,-
glpi_computermodels,Computermodel,400,-
glpi_computers,Computer,403,-
glpi_computers_items,ComputersItem,400,-
glpi_computertypes,Computertype,400,-
glpi_computervirtualmachines,Computervirtualmachine,400,-
glpi_configs,Config,206,230
glpi_consumableitems,Consumableitem,400,-
glpi_consumableitemtypes,Consumableitemtype,400,-
glpi_consumables,Consumable,200,-
glpi_contacts,Contact,200,-
glpi_contacts_suppliers,ContactsSupplier,400,-
glpi_contacttypes,Contacttype,400,-
glpi_contractcosts,Contractcost,400,-
glpi_contracts,Contract,200,-
glpi_contracts_items,ContractsItem,400,-
glpi_contracts_suppliers,ContractsSupplier,400,-
glpi_contracttypes,Contracttype,400,-
glpi_crontasklogs,Crontasklog,400,-
glpi_crontasks,Crontask,206,44
glpi_dashboards_dashboards,DashboardsDashboard,400,-
glpi_dashboards_filters,DashboardsFilter,400,-
glpi_dashboards_items,DashboardsItem,400,-
glpi_dashboards_rights,DashboardsRight,400,-
glpi_databaseinstancecategories,Databaseinstancecategory,400,-
glpi_databaseinstances,Databaseinstance,200,-
glpi_databaseinstancetypes,Databaseinstancetype,400,-
glpi_databases,Databas,400,-
glpi_datacenters,Datacenter,200,-
glpi_dcrooms,Dcroom,200,-
glpi_devicebatteries,Devicebattery,400,-
glpi_devicebatterymodels,Devicebatterymodel,400,-
glpi_devicebatterytypes,Devicebatterytype,400,-
glpi_devicecameramodels,Devicecameramodel,400,-
glpi_devicecameras,Devicecamera,400,-
glpi_devicecasemodels,Devicecasemodel,400,-
glpi_devicecases,Devicecas,400,-
glpi_devicecasetypes,Devicecasetype,400,-
glpi_devicecontrolmodels,Devicecontrolmodel,400,-
glpi_devicecontrols,Devicecontrol,400,-
glpi_devicedrivemodels,Devicedrivemodel,400,-
glpi_devicedrives,Devicedrive,400,-
glpi_devicefirmwaremodels,Devicefirmwaremodel,400,-
glpi_devicefirmwares,Devicefirmware,400,-
glpi_devicefirmwaretypes,Devicefirmwaretype,400,-
glpi_devicegenericmodels,Devicegenericmodel,400,-
glpi_devicegenerics,Devicegeneric,400,-
glpi_devicegenerictypes,Devicegenerictype,400,-
glpi_devicegraphiccardmodels,Devicegraphiccardmodel,400,-
glpi_devicegraphiccards,Devicegraphiccard,400,-
glpi_deviceharddrivemodels,Deviceharddrivemodel,400,-
glpi_deviceharddrives,Deviceharddrive,400,-
glpi_devicememories,Devicememory,400,-
glpi_devicememorymodels,Devicememorymodel,400,-
glpi_devicememorytypes,Devicememorytype,400,-
glpi_devicemotherboardmodels,Devicemotherboardmodel,400,-
glpi_devicemotherboards,Devicemotherboard,400,-
glpi_devicenetworkcardmodels,Devicenetworkcardmodel,400,-
glpi_devicenetworkcards,Devicenetworkcard,400,-
